y,x,xhat
0,345,345
1,345,345
2,345,345
3,345,344
4,345,344
5,345,344
6,345,344
7,345,344
8,345,344
9,345,344
10,345,344
11,345,344
12,345,344
13,345,344
14,345,344
15,345,344
16,345,345
17,345,345
18,345,345
19,345,345
20,345,345
21,345,345
22,345,345
23,345,345
24,345,345
25,345,345
26,346,345
27,346,345
28,346,345
29,346,344
30,346,344
31,346,343
32,346,343
33,346,342
34,346,342
35,346,342
36,346,343
37,346,343
38,346,344
39,346,344
40,346,345
41,346,346
42,346,347
43,346,349
44,346,350
45,346,351
46,346,353
47,346,354
48,346,356
49,346,357
50,346,359
51,346,360
52,346,362
53,346,363
67,377,365
68,377,366
69,382,368
70,384,369
71,385,370
72,385,371
73,385,373
74,385,374
75,384,375
76,383,375
77,383,376
78,380,377
79,379,377
80,381,377
81,379,378
82,374,378
83,372,377
84,370,377
85,371,377
86,373,376
87,374,376
88,376,375
89,372,374
90,373,373
91,372,371
92,369,370
93,369,369
94,367,369
95,366,368
96,367,368
97,365,367
98,365,367
99,365,367
100,369,367
101,366,366
102,367,366
103,367,366
104,366,366
105,366,366
106,365,366
107,370,366
108,373,366
109,367,367
110,367,367
111,366,367
112,367,367
113,367,367
114,369,367
115,368,367
116,368,367
117,370,368
118,370,368
119,366,368
120,367,369
121,369,369
122,368,369
123,369,370
124,369,370
125,370,370
126,371,371
127,372,371
128,372,371
129,374,371
130,374,372
131,373,372
132,371,372
133,370,372
134,370,372
135,373,372
136,374,372
137,374,372
138,374,372
139,375,372
140,375,372
141,380,372
142,370,372
143,377,372
144,379,372
145,376,372
146,373,372
147,372,372
148,370,372
149,369,372
150,367,372
151,369,372
152,370,372
153,370,372
154,372,372
155,371,372
156,368,372
157,368,372
158,370,372
159,371,372
160,373,371
161,373,371
162,378,371
163,377,371
164,375,371
165,372,371
166,373,371
167,373,371
168,372,371
169,372,372
170,373,372
171,373,372
172,374,372
173,373,372
174,368,372
175,372,372
176,373,372
177,375,372
178,373,372
179,372,372
180,370,372
181,368,372
182,370,372
183,372,371
184,372,371
185,372,371
186,373,371
187,373,371
188,372,371
189,372,371
190,371,371
191,375,371
192,374,371
193,371,371
194,369,371
195,370,371
196,373,372
197,374,372
198,376,372
199,370,372
200,369,372
201,373,372
202,374,372
203,372,373
204,373,373
205,373,373
206,374,373
207,373,373
208,372,373
209,371,373
210,373,373
211,372,373
212,375,373
213,375,373
214,376,373
215,376,373
216,375,373
217,375,373
218,375,373
219,374,373
220,375,373
221,374,373
222,373,372
223,375,372
224,376,373
225,374,373
226,373,373
227,372,373
228,370,373
229,369,372
230,369,372
231,372,372
232,372,372
233,371,372
234,371,372
235,369,372
236,374,372
237,373,372
238,372,372
239,369,372
240,372,372
241,375,372
242,377,372
243,376,372
244,376,372
245,376,373
246,375,373
247,375,373
248,374,373
249,373,373
250,373,374
251,372,374
252,372,374
253,372,374
254,374,375
255,374,375
256,373,375
257,375,375
258,375,376
259,375,376
260,377,376
261,377,376
262,377,376
263,377,376
264,377,377
265,379,376
266,381,377
267,380,377
268,379,377
269,376,377
270,377,377
271,376,377
272,380,377
273,379,378
274,380,378
275,380,378
276,379,378
277,379,377
278,379,377
279,377,377
280,375,377
281,375,377
282,375,377
283,377,376
284,376,376
285,377,376
286,376,376
287,376,376
288,377,376
289,376,376
290,377,375
291,375,375
292,376,375
293,374,375
294,374,375
295,378,375
296,376,375
297,374,375
298,374,375
299,374,375
300,374,375
301,376,375
302,376,375
303,373,375
304,375,375
305,374,375
306,375,375
307,379,375
308,381,375
309,376,374
310,376,374
311,374,374
312,374,374
313,374,375
314,374,375
315,375,375
316,376,375
317,375,375
318,376,375
319,374,375
320,374,375
321,375,376
322,375,376
323,377,376
324,378,376
325,376,376
326,376,376
327,376,376
328,375,376
329,376,376
330,377,377
331,378,376
332,379,377
333,379,377
334,380,377
335,380,377
336,381,378
337,380,378
338,379,378
339,379,378
340,379,378
341,379,378
342,379,378
343,379,379
344,378,379
345,378,379
346,375,379
347,375,379
348,375,379
349,378,379
350,379,379
351,382,379
352,382,380
353,382,380
354,380,380
355,381,380
356,384,380
357,383,380
358,382,380
359,382,380
360,380,381
361,378,381
362,381,381
363,382,381
364,383,381
365,382,381
366,386,381
367,378,382
368,382,382
369,383,382
370,383,382
371,383,382
372,384,382
373,378,382
374,381,382
375,386,382
376,389,382
377,379,382
378,375,382
379,381,382
380,383,382
381,382,382
382,382,382
383,383,382
384,383,382
385,381,382
386,382,381
387,382,381
388,382,381
389,382,381
390,382,381
391,382,381
392,383,381
393,382,381
394,382,381
395,382,381
396,381,381
397,382,381
398,382,381
399,382,381
400,382,381
401,381,381
402,381,382
403,382,381
404,381,381
405,381,381
406,380,381
407,380,381
408,380,381
409,382,381
410,382,381
411,387,381
412,383,381
413,380,381
414,380,381
415,383,381
416,384,381
417,382,382
418,383,382
419,382,382
420,382,382
421,382,382
422,382,382
423,382,382
424,383,382
425,382,382
426,381,382
427,381,382
428,382,382
429,386,382
430,385,382
431,383,382
432,379,382
433,381,382
434,383,382
435,384,382
436,384,382
437,386,382
438,385,382
439,384,382
440,383,382
441,381,382
442,379,382
443,382,382
444,383,382
445,386,382
446,385,382
447,383,382
448,382,382
449,382,382
450,381,382
451,382,382
452,385,382
453,385,382
454,379,382
455,379,383
456,383,383
457,382,383
458,383,382
459,383,382
460,384,382
461,385,383
462,384,383
463,383,382
464,383,382
465,382,382
466,382,381
